timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
55708000,0,0.00024414362,0.002966224,-0.0011941487,0.0,0.0,0.0
55716000,0,0.00016353317,0.0028231589,-0.0011466584,0.0,0.0,0.0
55728000,0,-0.00058851775,0.002316096,-0.0011189441,0.0,0.0,0.0
55736000,0,-0.0011538804,0.0023821632,-0.001131207,0.0,0.0,0.0
55748000,0,-0.0011860124,0.002770925,-0.0010877871,0.0,0.0,0.0
55756000,0,-0.00093781896,0.002915014,-0.0010442975,0.0,0.0,0.0
55768000,0,-0.0011153317,0.002524177,-0.0010698659,0.0,0.0,0.0
55776000,0,-0.0009978536,0.0021356184,-0.0010762752,0.0,0.0,0.0
55788000,0,-0.0010251788,0.001914722,-0.001080115,0.0,0.0,0.0
55796000,0,-0.00085950614,0.0016861407,-0.0010569413,0.0,0.0,0.0
55808000,0,-0.0003705287,0.0016555887,-0.0009802718,0.0,0.0,0.0
55816000,0,8.9791334e-05,0.0018790318,-0.00088550814,0.0,0.0,0.0
55828000,0,0.00034313698,0.0021718142,-0.00068117917,0.0,0.0,0.0
55836000,0,0.0003902912,0.0018546616,-0.00054336945,0.0,0.0,0.0
55848000,0,0.00017177168,0.001590873,-0.00028499807,0.0,0.0,0.0
55856000,0,0.000121094934,0.0015228315,-0.0001295855,0.0,0.0,0.0
55868000,0,0.00016194249,0.0012115127,3.4679077e-05,0.0,0.0,0.0
55876000,0,0.00023863975,0.00096027565,0.00010440132,0.0,0.0,0.0
55888000,0,0.000302175,0.00052379386,0.00015669868,0.0,0.0,0.0
55896000,0,0.00032717898,-0.00015762694,0.00017693534,0.0,0.0,0.0
55908000,0,0.0004992284,-0.0010378826,0.00013837701,0.0,0.0,0.0
55916000,0,0.001044966,-0.0016276834,6.521092e-05,0.0,0.0,0.0
55928000,0,0.0020878487,-0.0026190453,-3.6694757e-05,0.0,0.0,0.0
55936000,0,0.0031640944,-0.0031956977,-7.6379685e-05,0.0,0.0,0.0
55948000,0,0.00407757,-0.003667391,-0.000107065,0.0,0.0,0.0
55956000,0,0.004417916,-0.004063843,-0.00016507079,0.0,0.0,0.0
55968000,0,0.0054207346,-0.0047384887,-0.00023147427,0.0,0.0,0.0
55976000,0,0.0058883983,-0.005308754,-0.00018022387,0.0,0.0,0.0
55988000,0,0.00574759,-0.0055509945,-4.8869784e-05,0.0,0.0,0.0
55996000,0,0.00568588,-0.0056099626,1.9134152e-06,0.0,0.0,0.0
56008000,0,0.005490342,-0.005451246,0.00012123921,0.0,0.0,0.0
56016000,0,0.0054119765,-0.005670341,0.00022443272,0.0,0.0,0.0
56028000,0,0.005288811,-0.0059980103,0.00036338353,0.0,0.0,0.0
56036000,0,0.0051718545,-0.006527288,0.00041629112,0.0,0.0,0.0
56048000,0,0.0051625627,-0.007075915,0.00047036,0.0,0.0,0.0
56056000,0,0.005098663,-0.007361135,0.00049958203,0.0,0.0,0.0
56068000,0,0.004702192,-0.0071896357,0.0005713932,0.0,0.0,0.0
56076000,0,0.0046186047,-0.0068779383,0.00059598876,0.0,0.0,0.0
56088000,0,0.004835319,-0.0063882084,0.0007046497,0.0,0.0,0.0
56096000,0,0.004847897,-0.006458965,0.00078485673,0.0,0.0,0.0
56108000,0,0.0047169803,-0.007338099,0.00081000343,0.0,0.0,0.0
56116000,0,0.0044753784,-0.007524064,0.0008065934,0.0,0.0,0.0
56128000,0,0.004096797,-0.006689006,0.0008246658,0.0,0.0,0.0
56136000,0,0.004168813,-0.0059579983,0.00078642997,0.0,0.0,0.0
56148000,0,0.0035644267,-0.005058477,0.00069852447,0.0,0.0,0.0
56156000,0,0.0025536183,-0.004754899,0.0006498309,0.0,0.0,0.0
56168000,0,0.0019605088,-0.003681947,0.00056490325,0.0,0.0,0.0
56176000,0,0.0016162512,-0.0028658265,0.0005071141,0.0,0.0,0.0
56188000,0,0.0014029194,-0.0018794119,0.00044565633,0.0,0.0,0.0
56196000,0,0.0013133137,-0.0015605113,0.00035585603,0.0,0.0,0.0
56208000,0,0.0011097371,-0.001203817,0.0002440858,0.0,0.0,0.0
56216000,0,0.001144328,-0.0010900158,0.00019371184,0.0,0.0,0.0
56228000,0,0.0012287607,-0.0009091147,0.00016072678,0.0,0.0,0.0
56236000,0,0.0015074963,-0.0009743803,0.00015591404,0.0,0.0,0.0
56248000,0,0.0016680041,-0.0008974276,0.00011144951,0.0,0.0,0.0
56256000,0,0.0017824433,-0.0012049126,8.3419305e-05,0.0,0.0,0.0
56268000,0,0.0016807058,-0.001707976,5.8686004e-05,0.0,0.0,0.0
56276000,0,0.0012804499,-0.0022959327,4.255933e-05,0.0,0.0,0.0
56288000,0,0.0010138309,-0.0029225457,5.12137e-05,0.0,0.0,0.0
56296000,0,0.0011085336,-0.0030925125,7.3892465e-05,0.0,0.0,0.0
56308000,0,0.0010555619,-0.0035699587,0.00011720391,0.0,0.0,0.0
56316000,0,0.0009274684,-0.004065002,0.00016288891,0.0,0.0,0.0
56328000,0,0.0011281633,-0.0048277015,0.00024719426,0.0,0.0,0.0
56336000,0,0.0014866779,-0.005225923,0.00031100435,0.0,0.0,0.0
56348000,0,0.0017644082,-0.005780934,0.00042953592,0.0,0.0,0.0
56356000,0,0.0020527844,-0.0057375,0.00046031506,0.0,0.0,0.0
56368000,0,0.0025007885,-0.0059557753,0.00047866695,0.0,0.0,0.0
56376000,0,0.0027798906,-0.006013641,0.00051990163,0.0,0.0,0.0
56388000,0,0.003029139,-0.006069602,0.00054825953,0.0,0.0,0.0
56396000,0,0.003039082,-0.0061734444,0.00048189133,0.0,0.0,0.0
56408000,0,0.0027486174,-0.0071421512,0.0003689148,0.0,0.0,0.0
56416000,0,0.0026826444,-0.007643288,0.00033829454,0.0,0.0,0.0
56428000,0,0.0025615427,-0.007853102,0.00030178262,0.0,0.0,0.0
56436000,0,0.0023678334,-0.0075233,0.0002686227,0.0,0.0,0.0
56448000,0,0.0020162796,-0.007096669,0.0002717919,0.0,0.0,0.0
56456000,0,0.0017972292,-0.006618592,0.0002647249,0.0,0.0,0.0
56468000,0,0.0013942852,-0.006259798,0.00022789986,0.0,0.0,0.0
56476000,0,0.0013278278,-0.0062156585,0.0001969482,0.0,0.0,0.0
56488000,0,0.0010365187,-0.0063278205,0.00015472883,0.0,0.0,0.0
56496000,0,0.00052393094,-0.006160698,0.00014434864,0.0,0.0,0.0
56508000,0,6.0059225e-05,-0.005515217,0.00013954651,0.0,0.0,0.0
56516000,0,-0.00019615731,-0.0048857285,0.0001207017,0.0,0.0,0.0
