timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
41152000,41072000,-2.7876399,3.621653,-2.5135832,-1.2576259,-0.00037956773,1.2573142,2.5139952,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41160000,41080000,-2.787627,3.6216524,-2.5135725,-1.2576151,-0.00036871957,1.257325,2.5140061,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41168000,41088000,-2.7876682,3.621673,-2.5135765,-1.2576193,-0.00037281512,1.257321,2.5140018,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41176000,41096000,-2.7876472,3.6216655,-2.5135713,-1.2576138,-0.0003674133,1.2573264,2.5140073,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41184000,41104000,-2.7876058,3.6216493,-2.51356,-1.2576027,-0.00035632023,1.2573375,2.5140185,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41192000,41112000,-2.7876017,3.6216605,-2.5135376,-1.2575803,-0.00033388476,1.2573599,2.514041,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41200000,41120000,-2.7875826,3.6216636,-2.5135133,-1.257556,-0.0003095663,1.2573842,2.5140653,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41208000,41128000,-2.7912743,3.6251962,-2.5134346,-1.2572932,-0.00020717354,1.2572032,2.5138695,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41216000,41136000,-2.7912831,3.6252048,-2.5134294,-1.257288,-0.00020189681,1.2572083,2.5138748,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41224000,41144000,-2.7913146,3.625215,-2.5134435,-1.257302,-0.00021594633,1.2571944,2.5138607,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
41232000,41152000,-2.7913032,3.625211,-2.5134406,-1.2572991,-0.00021300121,1.2571973,2.5138638,-0.020700943,-0.0067730695,0.008234981,0.0035547856,-0.014330335,-0.003971575,-0.015212211,-0.0054313606,0.011866024,0.012749578,0.20033349,0.20001243,0.19967437,0.19978616,0.20019346,0
