timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
17120000,-0.006206893,-0.0026198945,0.3248321,-7.975682e-06,-3.6109648e-06,0.6994882,-0.0005005598,-0.00022614002,-0.06398438,0.0,0.0,-4.0,1.6597481,0.00055698835
17320000,-0.0059010796,-0.0033380745,0.32448843,6.4748583e-06,9.168876e-07,0.69948816,0.00040602684,5.733967e-05,-0.0639905,0.0,0.0,-4.0,1.6597421,0.00027772345
17520000,-0.0050588544,-0.0052069426,0.32435554,-1.2902346e-06,-5.4679845e-06,0.69948816,-8.070469e-05,-0.0003427267,-0.06398879,0.0,0.0,-4.0,1.6599154,0.00062049786
17720000,-0.004023047,-0.0056770076,0.3233203,4.3960003e-06,2.7482954e-06,0.6994881,0.00027537346,0.000172019,-0.06399279,0.0,0.0,-4.0,1.6601001,0.00067157444
17920000,0.0005738804,0.00021412848,0.31903026,9.1258e-06,1.3891114e-05,0.6994884,0.00057315826,0.00087451935,-0.063974395,0.0,0.0,-4.0,1.6601748,0.00052121584
18120000,0.0033689612,0.0059133037,0.317863,9.512087e-07,5.527079e-06,0.6994881,5.9485435e-05,0.0003464222,-0.0639922,0.0,0.0,-4.0,1.6602641,0.00050239207
18320000,0.0050359657,0.008048221,0.31798342,4.1168887e-06,2.1109588e-06,0.6994881,0.0002578497,0.0001320839,-0.063993864,0.0,0.0,-4.0,1.6604755,0.00073551544
18520000,0.0053567183,0.0077115414,0.32055533,-1.4598539e-06,-2.3203042e-06,0.6994881,-9.1314316e-05,-0.00014519691,-0.063994184,0.0,0.0,-4.0,1.6605289,0.00040946508
18720000,0.007818925,0.0071348893,0.3236053,8.473541e-06,3.1269553e-07,0.69948816,0.00053191185,1.9550323e-05,-0.063987345,0.0,0.0,-4.0,1.6607431,0.0007295305
18920000,0.010803669,0.0060663675,0.3265096,2.3012394e-06,-3.3529743e-06,0.6994881,0.00014400482,-0.00020992756,-0.06399318,0.0,0.0,-4.0,1.6606674,-5.6948404e-05
19120000,0.012103905,0.005185476,0.3282156,1.9911597e-06,4.7861346e-07,0.69948804,0.00012457371,2.9921532e-05,-0.06399744,0.0,0.0,-4.0,1.6605371,-0.000415553
19320000,0.011992387,0.0041885935,0.33091927,-1.2332016e-06,-2.7787935e-06,0.6994881,-7.712841e-05,-0.00017392635,-0.063994326,0.0,0.0,-4.0,1.6601359,-0.0013507073
19544000,0.014256826,0.004231643,0.33741432,0.0,0.0,0.6988485,0.0,0.0,-0.09597896,0.0,0.0,-4.0,1.6603001,5.0696362e-05
19720000,0.01643873,0.0040113926,0.33247617,1.9739762e-06,-1.7455257e-06,0.69948804,0.00012350082,-0.00010919571,-0.06399578,0.0,0.0,-4.0,1.6602535,-0.00021238904
19920000,0.01711194,0.003959649,0.3317229,4.2524078e-07,8.884186e-07,0.699488,2.6583672e-05,5.555153e-05,-0.06399855,0.0,0.0,-4.0,1.6602832,3.1196352e-05
20120000,0.017127583,0.0060096877,0.32572,-2.8606763e-08,3.7311788e-06,0.6994881,-1.7881393e-06,0.00023365021,-0.06399314,0.0,0.0,-4.0,1.6602689,-3.6863348e-06
20320000,0.016270489,0.007479503,0.32294348,-1.9587742e-06,5.167339e-07,0.69948804,-0.00012254715,3.2305717e-05,-0.06399664,0.0,0.0,-4.0,1.6603515,0.00028363348
20520000,0.01403685,0.008836073,0.3214169,-3.966655e-06,2.9745363e-06,0.6994881,-0.00024843216,0.00018620491,-0.06399123,0.0,0.0,-4.0,1.6604939,0.0006207964
20744000,0.01173441,0.010076343,0.32157794,0.0,0.0,0.69884825,0.0,0.0,-0.09598956,0.0,0.0,-4.0,1.6607335,0.0008109603
20920000,0.0096798865,0.009361909,0.31506747,-4.1224475e-06,-2.4591072e-06,0.6994881,-0.00025820732,-0.0001538992,-0.0639917,0.0,0.0,-4.0,1.6607856,0.0005716803
21120000,0.007838029,0.008243916,0.3155381,-1.6008196e-06,-9.41738e-07,0.69948804,-0.0001001358,-5.888939e-05,-0.06399601,0.0,0.0,-4.0,1.6609976,0.00085070205
21344000,0.0068678265,0.007827134,0.31936017,-3.690144e-07,-2.717605e-07,0.6988482,-1.5377998e-05,-1.13248825e-05,-0.095992714,0.0,0.0,-4.0,1.6611664,0.00069044175
21520000,0.0053685284,0.0064184573,0.31504008,-3.3129616e-06,-3.774778e-06,0.6994881,-0.00020742416,-0.00023639202,-0.06399138,0.0,0.0,-4.0,1.6611335,0.00015680327
21744000,0.0041705295,0.005203447,0.32299927,-3.0894776e-07,-2.746223e-07,0.6988481,-1.2874603e-05,-1.1444092e-05,-0.09599317,0.0,0.0,-4.0,1.6612387,0.00041206396
21920000,0.0028047638,0.0033774413,0.32137835,-3.23495e-06,-4.8039756e-06,0.69948816,-0.00020253658,-0.00030100346,-0.063989975,0.0,0.0,-4.0,1.6613657,0.0006285707
22120000,0.0028437257,0.0019049621,0.32314682,2.5905456e-06,-2.6316374e-07,0.69948804,0.00016212463,-1.6450882e-05,-0.06399598,0.0,0.0,-4.0,1.6613194,0.00010040392
22320000,0.003224561,-9.7026044e-05,0.32499787,-8.1780394e-07,-5.3296494e-06,0.69948816,-5.1140785e-05,-0.00033402443,-0.06399048,0.0,0.0,-4.0,1.6613073,0.00019157874
22520000,0.0011398495,-0.0035726526,0.32499173,-4.6557293e-06,-4.908169e-06,0.69948816,-0.00029170513,-0.00030755997,-0.063987434,0.0,0.0,-4.0,1.6616215,0.0009505324
22720000,-0.0022406566,-0.008132039,0.3253207,-5.513022e-06,-8.385998e-06,0.6994883,-0.00034558773,-0.0005264282,-0.06398319,0.0,0.0,-4.0,1.6616833,0.00050155685
22920000,-0.0017267632,-0.010861152,0.32675952,5.6521512e-06,-9.073675e-07,0.6994881,0.00035429,-5.6743622e-05,-0.06399098,0.0,0.0,-4.0,1.661708,0.000282491
23120000,0.00016622539,-0.013429974,0.32986793,1.2293095e-06,-5.6710337e-06,0.69948816,7.688999e-05,-0.0003554821,-0.06399005,0.0,0.0,-4.0,1.6618159,0.00045096804
23344000,0.0011181664,-0.012860541,0.3365318,0.0,0.0,0.6988483,0.0,0.0,-0.09598662,0.0,0.0,-4.0,1.6619868,0.0006993426
23544000,0.0027368218,-0.006974171,0.3322984,0.0,0.0,0.69884884,0.0,0.0,-0.095963806,0.0,0.0,-4.0,1.66205,0.00055539055
23744000,0.0032759975,-0.0032377914,0.33181462,-4.2049652e-07,0.0,0.6988482,-1.7523766e-05,0.0,-0.0959919,0.0,0.0,-4.0,1.6621568,0.00051425816
23944000,0.0057318024,0.00022511155,0.33165804,0.0,0.0,0.6988486,0.0,0.0,-0.09597317,0.0,0.0,-4.0,1.6623343,0.0007180601
24120000,0.007850155,0.0017071844,0.32830462,2.1643484e-06,7.628732e-08,0.69948804,0.00013542175,4.7683716e-06,-0.06399683,0.0,0.0,-4.0,1.6622878,0.00013367264
24344000,0.008952547,-9.9568555e-05,0.3356177,0.0,0.0,0.6988484,0.0,0.0,-0.095981896,0.0,0.0,-4.0,1.6624554,0.0004763215
24520000,0.009134237,-0.0036911203,0.3322109,-1.1441244e-07,-7.2170888e-06,0.69948816,-7.1525574e-06,-0.00045275688,-0.06398765,0.0,0.0,-4.0,1.6624122,6.3486266e-05
24720000,0.009005109,-0.007844154,0.33326852,-1.3729803e-07,-5.5932546e-06,0.69948816,-8.583069e-06,-0.00035059452,-0.06398981,0.0,0.0,-4.0,1.6623063,-0.0002906839
24944000,0.0072933375,-0.009478422,0.3375839,0.0,-6.9215974e-07,0.6988483,0.0,-2.8848648e-05,-0.095985614,0.0,0.0,-4.0,1.6623551,0.00011333646
25144000,0.0049102874,-0.011679184,0.34120795,0.0,0.0,0.6988486,0.0,0.0,-0.09597417,0.0,0.0,-4.0,1.6625514,0.000611462
25320000,0.0024811064,-0.012473273,0.33752012,-4.358017e-06,1.1341147e-06,0.6994881,-0.00027298927,7.092953e-05,-0.06399273,0.0,0.0,-4.0,1.662778,0.0010182263
25520000,0.0005706464,-0.011134722,0.33368525,-1.5779352e-06,2.5904924e-06,0.69948804,-9.870529e-05,0.00016212463,-0.06399467,0.0,0.0,-4.0,1.6628922,0.00065379136
25720000,-0.0011739688,-0.011664684,0.3323353,-3.482105e-06,-3.5410212e-06,0.6994881,-0.00021803379,-0.00022172928,-0.06399095,0.0,0.0,-4.0,1.663,0.0006381299
