timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
49208000,49086000,49128000,0,-2.199829,1.0,0.1765883,1.1094068,0.001124328,0,1,0,1
49408000,49290000,49328000,0,-2.204834,1.0,0.16848254,1.1030828,0.0010293467,0,1,0,1
49808000,49690000,49728000,0,-2.2088318,1.0,0.16997051,1.1047438,0.0010460335,0,1,0,1
50208000,50090000,50128000,0,-2.2148438,1.0,0.1688559,1.1061842,0.0010310152,0,1,0,1
50608000,50490000,50528000,0,-2.2238464,1.0,0.174541,1.1083491,0.0010994573,0,1,0,1
51008000,50890000,50928000,0,-2.224823,1.0,0.17656279,1.1093787,0.0011240316,0,1,0,1
51408000,51290000,51328000,0,-2.2358398,1.0,0.18360591,1.1101968,0.0012146002,0,1,0,1
51808000,51686000,51728000,0,-2.2488403,1.0,0.18102384,1.1108471,0.001179987,0,1,0,1
52008000,51890000,51928000,0,-2.257843,1.0,0.17550468,1.1042469,0.0011157612,0,1,0,1
52408000,52286000,52328000,0,-2.2548218,1.0,0.17348409,1.1057872,0.0010886989,0,1,0,1
52608000,52490000,52528000,0,-2.2538452,1.0,0.15925789,1.1001598,0.0009221597,0,1,0,1
53008000,52890000,52928000,0,-2.2478333,1.0,0.16367626,1.1023116,0.0009721359,0,1,0,1
53408000,53286000,53328000,0,-2.2448425,1.0,0.17043257,1.1050911,0.0010513979,0,1,0,1
53808000,53690000,53728000,0,-2.2358398,1.0,0.16450071,1.1067296,0.0009780341,0,1,0,1
54008000,53890000,53928000,0,-2.236847,1.0,0.15497041,1.1009912,0.0008725166,0,1,0,1
54408000,54290000,54328000,0,-2.2398376,1.0,0.15959716,1.1031913,0.00092354807,0,1,0,1
54808000,54686000,54728000,0,-2.2348328,1.0,0.16270828,1.1050825,0.00095826277,0,1,0,1
55008000,54890000,54928000,0,-2.2378235,1.0,0.15190697,1.0996367,0.0008393945,0,1,0,1
55408000,55290000,55328000,0,-2.2428284,1.0,0.16226482,1.1020045,0.0009557083,0,1,0,1
55808000,55690000,55728000,0,-2.2418213,1.0,0.16952562,1.1049314,0.0010403881,0,1,0,1
56208000,56090000,56128000,0,-2.2408447,1.0,0.16720605,1.1066812,0.0010105119,0,1,0,1
56608000,56490000,56528000,0,-2.2288208,1.0,0.15829396,1.1081109,0.00090449356,0,1,0,1
57008000,56890000,56928000,0,-2.2358398,1.0,0.1689043,1.1102165,0.0010278595,0,1,0,1
57408000,57290000,57328000,0,-2.2358398,1.0,0.16829371,1.1110986,0.0010196314,0,1,0,1
57808000,57690000,57728000,0,-2.2388306,1.0,0.16746712,1.1117395,0.0010090577,0,1,0,1
58208000,58090000,58128000,0,-2.2428284,1.0,0.17040229,1.1132001,0.0010433682,0,1,0,1
58408000,58290000,58328000,0,-2.2478333,1.0,0.15983582,1.1052991,0.00092454563,0,1,0,1
58808000,58686000,58728000,0,-2.2488403,1.0,0.16829562,1.1075951,0.0010228798,0,1,0,1
59208000,59086000,59128000,0,-2.231842,1.0,0.16329265,1.1087427,0.0009619721,0,1,0,1
59608000,59486000,59528000,0,-2.22583,1.0,0.16037297,1.1096596,0.0009271128,0,1,0,1
60008000,59886000,59928000,0,-2.2138367,1.0,0.14639354,1.111361,0.000771345,0,1,0,1
60208000,60090000,60128000,0,-2.224823,1.0,0.14676309,1.1038423,0.0007805247,0,1,0,1
60608000,60490000,60528000,0,-2.2088318,1.0,0.13568163,1.1063032,0.0006656223,0,1,0,1
61008000,60890000,60928000,0,-2.1888428,1.0,0.13115811,1.1076403,0.00062122877,0,1,0,1
61408000,61290000,61328000,0,-2.1748352,1.0,0.12776732,1.1087384,0.00058893923,0,1,0,1
61808000,61690000,61728000,0,-2.1608276,1.0,0.11995745,1.1096437,0.00051871745,0,1,0,1
62208000,62086000,62128000,0,-2.1668396,1.0,0.12599039,1.1113468,0.00057132763,0,1,0,1
62608000,62486000,62528000,0,-2.1638184,1.0,0.120719194,1.1118796,0.0005242699,0,1,0,1
63008000,62886000,62928000,0,-2.1628418,1.0,0.117815256,1.1122462,0.0004991857,0,1,0,1
63408000,63286000,63328000,0,-2.1648254,1.0,0.11937022,1.1135063,0.00051186956,0,1,0,1
63808000,63690000,63728000,0,-2.1768188,1.0,0.12912083,1.1136143,0.0005988496,0,1,0,1
64208000,64086000,64128000,0,-2.1738281,1.0,0.12419891,1.1136191,0.0005540627,0,1,0,1
64608000,64490000,64528000,0,-2.1718445,1.0,0.11975932,1.1145958,0.0005147084,0,1,0,1
65008000,64890000,64928000,0,-2.1698303,1.0,0.1168766,1.1144487,0.0004902923,0,1,0,1
65408000,65286000,65328000,0,-2.1618347,1.0,0.11267853,1.1142461,0.0004557862,0,1,0,1
