timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
66792000,66792000,1204000,47.397742099999995,8.5455934,-0.02821526,0.010265205,-2.047198,0.000249556,0.007715364,0.2608209,0.034399964,-0.0095182955,0.042439964,-0.0031082744,0.01068239,0.028366301,0.01886324,0.01264215,0.033458225,0.034833323,1.5708053,0.0070251385,488.3202,2.4935532,0.47986472,0.33171734,0.17042473,0.11694798,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
67296000,67296000,1204000,47.397742099999995,8.5455934,-0.029819146,0.012328597,-2.0431519,0.000249556,0.007715364,0.2608209,0.031506244,-0.0071796523,0.04533978,0.0034857693,0.01068239,0.028366301,0.01886324,-0.003226916,0.003012217,-0.0004675239,1.5708557,0.0070251385,488.3202,2.489507,0.49171287,0.3387991,0.17496061,0.11901718,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
67792000,67792000,1204000,47.397742099999995,8.5455934,-0.02944517,0.013092364,-2.035678,0.000249556,0.007715364,0.2608209,0.033428796,-0.0058376584,0.03914995,0.0041472237,0.01068239,0.028366301,0.01886324,0.021319136,0.018801132,-0.014031305,1.570794,0.0070251385,488.3202,2.482033,0.5030802,0.3452847,0.17924337,0.12089217,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
68296000,68296000,1204000,47.397742099999995,8.5455934,-0.023235913,0.013676508,-2.0297666,0.000249556,0.007715364,0.2608209,0.032696232,-0.0016346388,0.027342198,-0.0033517636,0.01068239,0.028366301,0.01886324,0.011406722,0.00645715,0.008506699,1.5708508,0.0070251385,488.3202,2.4761217,0.47007987,0.32603458,0.1658665,0.11518093,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
68792000,68792000,1204000,47.397742099999995,8.5455934,-0.019528832,0.009320406,-2.0318725,0.000249556,0.007715364,0.2608209,0.028292453,-0.0031933368,0.029610233,-0.001744981,0.01068239,0.028366301,0.01886324,-0.0010405491,0.040966433,0.0045271586,1.5708251,0.0070251385,488.3202,2.4782276,0.4803653,0.33226845,0.17001775,0.1170836,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
69296000,69296000,1204000,47.397742099999995,8.5455934,-0.020426024,-0.0059593427,-2.0267694,0.000249556,0.007715364,0.2608209,0.024109827,-0.0028707068,0.026779821,0.0002931583,0.01068239,0.028366301,0.01886324,-0.017413782,0.0611805,0.002318993,1.5707294,0.0070251385,488.3202,2.4731245,0.49198833,0.33933082,0.1746098,0.119170085,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
69792000,69792000,1204000,47.397742099999995,8.5455934,-0.021400772,-0.017955417,-2.0190313,0.000249556,0.007715364,0.2608209,0.021626066,0.0060176845,0.022020156,0.0027520603,0.01068239,0.028366301,0.01886324,-0.012175703,0.0259208,-0.019561497,1.5707492,0.0070251385,488.3202,2.4653864,0.5031835,0.34416544,0.17891413,0.120732956,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
70296000,70296000,1204000,47.397742099999995,8.5455934,-0.022401158,-0.01821364,-2.0012453,0.000249556,0.007715364,0.2608209,0.019515261,0.017043147,0.004793145,0.00060722884,0.01068239,0.028366301,0.01886324,0.013643991,0.011461466,-0.022681428,1.5708113,0.0070251385,488.3202,2.4476004,0.4701769,0.32648697,0.16567385,0.11533028,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
70792000,70792000,1204000,47.397742099999995,8.5455934,-0.017152999,-0.022333313,-1.9926575,0.000249556,0.007715364,0.2608209,0.019355748,0.019086009,-0.008943516,-0.0054252287,0.01068239,0.028366301,0.01886324,0.010196468,-0.006471964,-0.0194218,1.5707293,0.0070251385,488.3202,2.4390128,0.48037377,0.33274293,0.16989583,0.11723738,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
71296000,71296000,1204000,47.397742099999995,8.5455934,-0.0059490334,-0.024868669,-1.9898643,0.000249556,0.007715364,0.2608209,0.018616224,0.023115054,-0.0096582165,-0.002790096,0.01068239,0.028366301,0.01886324,-0.016166158,0.031434145,-0.016730277,1.5702958,0.0070251385,488.3202,2.4362195,0.49193305,0.33827192,0.17448068,0.11902424,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
