timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
55496000,55496000,0.7,4.049115e-06,-0.10221312,1.0008093,0.0011598971,1.0,1
55600000,55600000,0.7,4.0176774e-06,-0.15343064,1.000803,0.0026135636,1.0,1
55696000,55696000,0.7,3.9891365e-06,-0.12722486,1.0008004,0.0017970247,1.0,1
55792000,55792000,0.7,3.9609886e-06,-0.14220008,1.0007979,0.0022449712,1.0,1
55896000,55896000,0.7,3.931126e-06,-0.08259062,1.0007873,0.000757316,1.0,1
56000000,56000000,0.7,3.902035e-06,-0.087381095,1.0007806,0.0008477223,1.0,1
56096000,56096000,0.7,3.87568e-06,-0.11369134,1.0007765,0.0014350767,1.0,1
56192000,56192000,0.7,3.849722e-06,-0.1140265,1.0007738,0.0014435544,1.0,1
56296000,56296000,0.7,3.8222042e-06,-0.10681746,1.0007629,0.0012668079,1.0,1
56392000,56392000,0.7,3.797441e-06,-0.10907665,1.0007576,0.0013209677,1.0,1
56496000,56496000,0.7,3.7710392e-06,-0.13572432,1.0007551,0.0020452435,1.0,1
56592000,56592000,0.7,3.7469983e-06,-0.10619599,1.0007527,0.001252123,1.0,1
56696000,56696000,0.7,3.7214663e-06,-0.07623748,1.0007439,0.00064531475,1.0,1
56800000,56800000,0.7,3.696553e-06,-0.11536954,1.0007386,0.0014778121,1.0,1
56896000,56896000,0.7,3.6739125e-06,-0.11378377,1.000736,0.0014374694,1.0,1
56992000,56992000,0.7,3.651578e-06,-0.09481683,1.0007339,0.000998182,1.0,1
57096000,57096000,0.7,3.6278582e-06,-0.08350921,1.0007249,0.00077430403,1.0,1
57200000,57200000,0.7,3.6047268e-06,-0.0657248,1.0007195,0.000479627,1.0,1
57296000,57296000,0.7,3.5837327e-06,-0.10714409,1.0007168,0.0012746258,1.0,1
57392000,57392000,0.7,3.5629973e-06,-0.10969239,1.0007149,0.0013359804,1.0,1
57496000,57496000,0.7,3.5409566e-06,-0.07276391,1.0007071,0.0005878717,1.0,1
57600000,57600000,0.7,3.5194375e-06,-0.12031621,1.000702,0.001607315,1.0,1
57696000,57696000,0.7,3.4998689e-06,-0.10766475,1.0007005,0.001287065,1.0,1
57792000,57792000,0.7,3.4805291e-06,-0.09176971,1.0006987,0.00093508884,1.0,1
57896000,57896000,0.7,3.4600027e-06,-0.09154683,1.0006896,0.0009305608,1.0,1
58000000,58000000,0.7,3.4400014e-06,-0.10349904,1.0006847,0.0011894135,1.0,1
58096000,58096000,0.7,3.4218112e-06,-0.14314298,1.0006834,0.0022751023,1.0,1
58192000,58192000,0.7,3.4037957e-06,-0.124952585,1.0006827,0.0017336106,1.0,1
58296000,58296000,0.7,3.38465e-06,-0.095507115,1.0006741,0.0010128294,1.0,1
58392000,58392000,0.7,3.3673966e-06,-0.13294096,1.0006703,0.0019623844,1.0,1
58496000,58496000,0.7,3.3490671e-06,-0.09223822,1.0006638,0.0009446939,1.0,1
58592000,58592000,0.7,3.3324923e-06,-0.16121435,1.0006609,0.0028858779,1.0,1
58696000,58696000,0.7,3.3147198e-06,-0.13627206,1.0006614,0.0020619775,1.0,1
58792000,58792000,0.7,3.2984342e-06,-0.11641212,1.0006616,0.0015047578,1.0,1
58896000,58896000,0.7,3.2810517e-06,-0.08841193,1.0006557,0.0008679496,1.0,1
58992000,58992000,0.7,3.2653447e-06,-0.12776072,1.0006523,0.0018124625,1.0,1
59096000,59096000,0.7,3.2485268e-06,-0.11666706,1.000652,0.0015113705,1.0,1
59192000,59192000,0.7,3.2331534e-06,-0.078299925,1.0006506,0.0006807658,1.0,1
59296000,59296000,0.7,3.2167923e-06,-0.11187452,1.0006447,0.0013897605,1.0,1
59392000,59392000,0.7,3.2019855e-06,-0.108925685,1.0006418,0.001317466,1.0,1
59496000,59496000,0.7,3.1861784e-06,-0.09987544,1.0006396,0.0011076364,1.0,1
59600000,59600000,0.7,3.1705679e-06,-0.09421514,1.0006381,0.000985648,1.0,1
59696000,59696000,0.7,3.156451e-06,-0.09858522,1.0006307,0.0010792132,1.0,1
