timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
19008000,18890000,18928000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.01389245,-0.018700803,0.016756257,0.11377069,0.11379785,0.21757007,6.785585e-05,0.00012292675,5.1619627e-05,0,1,0,1
19408000,19290000,19328000,0,0.02,0.0,0.0,0.09,0.09,0.20250002,-0.033542853,-0.016674029,0.028720252,0.113680735,0.11370394,0.21733364,0.00039588872,9.780602e-05,0.0001518132,0,1,0,1
19808000,19690000,19728000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0082413955,-0.015156126,0.028156705,0.11346963,0.11348891,0.21714085,2.3943181e-05,8.096232e-05,0.00014604347,0,1,0,1
20008000,19890000,19928000,0,0.0,0.01,-0.04,0.09,0.09,0.20250002,-0.007385724,-0.0223853,0.06490131,0.11041674,0.110430345,0.21619783,1.9761106e-05,0.00018150866,0.0007793195,0,1,0,1
20408000,20290000,20328000,0,-0.01,0.01,0.0,0.09,0.09,0.20250002,0.0021329634,-0.02069991,0.025081731,0.110879496,0.11089144,0.21629773,1.641253e-06,0.00015456064,0.0001163384,0,1,0,1
20608000,20490000,20528000,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,-0.01035632,-0.010056424,0.042663813,0.10863253,0.10864174,0.21557769,3.9492174e-05,3.723492e-05,0.00033773456,0,1,0,1
21008000,20886000,20928000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.013723303,-0.015486861,0.015823564,0.1093649,0.109374575,0.21585356,6.888098e-05,8.77143e-05,4.639908e-05,0,1,0,1
21208000,21090000,21128000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.012808848,-0.016558576,0.015640197,0.10752964,0.10753753,0.21526231,6.1031205e-05,0.000101987265,4.5454453e-05,0,1,0,1
21608000,21490000,21528000,0,0.0,0.0,0.049999997,0.09,0.09,0.20250002,-0.015256623,-0.021285832,-0.022887569,0.10838077,0.10838947,0.21564631,8.5906206e-05,0.00016720689,9.716667e-05,0,1,0,1
22008000,21890000,21928000,0,0.01,0.0,-0.01,0.09,0.09,0.20250002,-0.026327334,-0.02518507,0.041334905,0.10897894,0.10898778,0.21603371,0.00025440825,0.00023279223,0.00031635328,0,1,0,1
22408000,22290000,22328000,0,-0.02,-0.02,-0.02,0.09,0.09,0.20250002,0.006003784,-0.010406954,0.053754006,0.10935229,0.10936123,0.21629937,1.3185063e-05,3.9613562e-05,0.00053435075,0,1,0,1
22808000,22690000,22728000,0,0.02,-0.01,0.04,0.09,0.09,0.20250002,-0.03747546,-0.024089495,-0.0041108727,0.10954226,0.1095491,0.21650791,0.0005128286,0.00021188812,3.1221539e-06,0,1,0,1
23208000,23086000,23128000,0,0.0,0.01,0.0,0.09,0.09,0.20250002,-0.012131562,-0.04253093,0.04143865,0.109591186,0.10959524,0.21673828,5.3717755e-05,0.0006602039,0.00031690972,0,1,0,1
23408000,23290000,23328000,0,0.01,0.02,-0.03,0.09,0.09,0.20250002,-0.022312611,-0.047688052,0.07112037,0.107406095,0.1074093,0.21593457,0.00018540946,0.00084691006,0.0009369702,0,1,0,1
23808000,23690000,23728000,0,0.02,0.01,0.0,0.09,0.09,0.20250002,-0.03278797,-0.031797655,0.040606476,0.10785024,0.107852265,0.21628948,0.00039871995,0.00037499104,0.00030494056,0,1,0,1
24208000,24090000,24128000,0,0.0,-0.02,0.01,0.09,0.09,0.20250002,-0.008321466,-0.0011444576,0.031027803,0.10813716,0.10813771,0.21651661,2.561443e-05,4.8448715e-07,0.00017785694,0,1,0,1
24608000,24486000,24528000,0,0.0,-0.02,0.0,0.09,0.09,0.20250002,-0.0063307644,-0.008598095,0.04282262,0.10829146,0.10829056,0.21668553,1.4803966e-05,2.7306993e-05,0.000338514,0,1,0,1
24808000,24690000,24728000,0,-0.01,0.0,0.04,0.09,0.09,0.20250002,0.0034672553,-0.029843163,0.0010980554,0.10639055,0.10638954,0.21595751,4.519897e-06,0.00033485034,2.2332647e-07,0,1,0,1
