timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
22452000,4000000.0,1.0,25282.87,0.0,9226,0,534.8606,510,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23452000,4000000.0,1.0,25696.217,0.0,9660,0,534.8606,532,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24452000,4000000.0,1.0,25410.36,0.0,10100,0,1182.271,571,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25452000,4000000.0,1.0,25526.893,0.0,10535,0,1829.6813,613,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26452000,4000000.0,1.0,25351.594,0.0,10971,0,1829.6813,655,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27452000,4000000.0,1.0,25428.287,0.0,11407,0,1829.6813,697,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28452000,4000000.0,1.0,25321.715,0.0,11843,0,1829.6813,739,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29452000,4000000.0,1.0,25469.125,0.0,12277,0,1829.6813,781,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30452000,4000000.0,1.0,25286.854,0.0,12714,0,1829.6813,823,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31452000,4000000.0,1.0,25989.045,0.0,13148,0,1829.6813,865,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
