timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
46552000,1,1,0,0,1,1,1,1,1,1,1,1,0
47056000,1,1,0,0,1,1,1,1,1,1,1,1,0
47560000,1,1,0,0,1,1,1,1,1,1,1,1,0
48064000,1,1,0,0,1,1,1,1,1,1,1,1,0
48568000,1,1,0,0,1,1,1,1,1,1,1,1,0
49072000,1,1,0,0,1,1,1,1,1,1,1,1,0
49576000,1,1,0,0,1,1,1,1,1,1,1,1,0
50080000,1,1,0,0,1,1,1,1,1,1,1,1,0
50584000,1,1,0,0,1,1,1,1,1,1,1,1,0
51088000,1,1,0,0,1,1,1,1,1,1,1,1,0
51592000,1,1,0,0,1,1,1,1,1,1,1,1,0
52096000,1,1,0,0,1,1,1,1,1,1,1,1,0
52600000,1,1,0,0,1,1,1,1,1,1,1,1,0
53104000,1,1,0,0,1,1,1,1,1,1,1,1,0
53608000,1,1,0,0,1,1,1,1,1,1,1,1,0
54112000,1,1,0,0,1,1,1,1,1,1,1,1,0
54616000,1,1,0,0,1,1,1,1,1,1,1,1,0
55120000,1,1,0,0,1,1,1,1,1,1,1,1,0
55624000,1,1,0,0,1,1,1,1,1,1,1,1,0
56128000,1,1,0,0,1,1,1,1,1,1,1,1,0
56632000,1,1,0,0,1,1,1,1,1,1,1,1,0
57136000,1,1,0,0,1,1,1,1,1,1,1,1,0
57640000,1,1,0,0,1,1,1,1,1,1,1,1,0
58144000,1,1,0,0,1,1,1,1,1,1,1,1,0
58648000,1,1,0,0,1,1,1,1,1,1,1,1,0
59152000,1,1,0,0,1,1,1,1,1,1,1,1,0
59656000,1,1,0,0,1,1,1,1,1,1,1,1,0
60160000,1,1,0,0,1,1,1,1,1,1,1,1,0
60664000,1,1,0,0,1,1,1,1,1,1,1,1,0
61168000,1,1,0,0,1,1,1,1,1,1,1,1,0
61672000,1,1,0,0,1,1,1,1,1,1,1,1,0
62176000,1,1,0,0,1,1,1,1,1,1,1,1,0
62680000,1,1,0,0,1,1,1,1,1,1,1,1,0
63184000,1,1,0,0,1,1,1,1,1,1,1,1,0
63688000,1,1,0,0,1,1,1,1,1,1,1,1,0
64192000,1,1,0,0,1,1,1,1,1,1,1,1,0
64696000,1,1,0,0,1,1,1,1,1,1,1,1,0
65200000,1,1,0,0,1,1,1,1,1,1,1,1,0
65704000,1,1,0,0,1,1,1,1,1,1,1,1,0
66208000,1,1,0,0,1,1,1,1,1,1,1,1,0
66712000,1,1,0,0,1,1,1,1,1,1,1,1,0
67216000,1,1,0,0,1,1,1,1,1,1,1,1,0
67720000,1,1,0,0,1,1,1,1,1,1,1,1,0
68224000,1,1,0,0,1,1,1,1,1,1,1,1,0
68728000,1,1,0,0,1,1,1,1,1,1,1,1,0
69232000,1,1,0,0,1,1,1,1,1,1,1,1,0
69736000,1,1,0,0,1,1,1,1,1,1,1,1,0
70240000,1,1,0,0,1,1,1,1,1,1,1,1,0
70744000,1,1,0,0,1,1,1,1,1,1,1,1,0
71248000,1,1,0,0,1,1,1,1,1,1,1,1,0
71752000,1,1,0,0,1,1,1,1,1,1,1,1,0
72256000,1,1,0,0,1,1,1,1,1,1,1,1,0
72760000,1,1,0,0,1,1,1,1,1,1,1,1,0
73264000,1,1,0,0,1,1,1,1,1,1,1,1,0
73768000,1,1,0,0,1,1,1,1,1,1,1,1,0
74272000,1,1,0,0,1,1,1,1,1,1,1,1,0
74776000,1,1,0,0,1,1,1,1,1,1,1,1,0
75280000,1,1,0,0,1,1,1,1,1,1,1,1,0
75784000,1,1,0,0,1,1,1,1,1,1,1,1,0
76288000,1,1,0,0,1,1,1,1,1,1,1,1,0
76792000,1,1,0,0,1,1,1,1,1,1,1,1,0
77296000,1,1,0,0,1,1,1,1,1,1,1,1,0
77800000,1,1,0,0,1,1,1,1,1,1,1,1,0
78304000,1,1,0,0,1,1,1,1,1,1,1,1,0
78808000,1,1,0,0,1,1,1,1,1,1,1,1,0
79312000,1,1,0,0,1,1,1,1,1,1,1,1,0
79816000,1,1,0,0,1,1,1,1,1,1,1,1,0
80320000,1,1,0,0,1,1,1,1,1,1,1,1,0
80824000,1,1,0,0,1,1,1,1,1,1,1,1,0
81328000,1,1,0,0,1,1,1,1,1,1,1,1,0
81832000,1,1,0,0,1,1,1,1,1,1,1,1,0
82336000,1,1,0,0,1,1,1,1,1,1,1,1,0
82840000,1,1,0,0,1,1,1,1,1,1,1,1,0
83344000,1,1,0,0,1,1,1,1,1,1,1,1,0
83848000,1,1,0,0,1,1,1,1,1,1,1,1,0
84352000,1,1,0,0,1,1,1,1,1,1,1,1,0
84856000,1,1,0,0,1,1,1,1,1,1,1,1,0
85360000,1,1,0,0,1,1,1,1,1,1,1,1,0
85864000,1,1,0,0,1,1,1,1,1,1,1,1,0
86368000,1,1,0,0,1,1,1,1,1,1,1,1,0
86872000,1,1,0,0,1,1,1,1,1,1,1,1,0
87376000,1,1,0,0,1,1,1,1,1,1,1,1,0
87880000,1,1,0,0,1,1,1,1,1,1,1,1,0
88384000,1,1,0,0,1,1,1,1,1,1,1,1,0
88888000,1,1,0,0,1,1,1,1,1,1,1,1,0
89392000,1,1,0,0,1,1,1,1,1,1,1,1,0
89896000,1,1,0,0,1,1,1,1,1,1,1,1,0
90400000,1,1,0,0,1,1,1,1,1,1,1,1,0
90904000,1,1,0,0,1,1,1,1,1,1,1,1,0
91408000,1,1,0,0,1,1,1,1,1,1,1,1,0
91912000,1,1,0,0,1,1,1,1,1,1,1,1,0
92416000,1,1,0,0,1,1,1,1,1,1,1,1,0
92920000,1,1,0,0,1,1,1,1,1,1,1,1,0
93424000,1,1,0,0,1,1,1,1,1,1,1,1,0
93928000,1,1,0,0,1,1,1,1,1,1,1,1,0
94432000,1,1,0,0,1,1,1,1,1,1,1,1,0
94936000,1,1,0,0,1,1,1,1,1,1,1,1,0
95440000,1,1,0,0,1,1,1,1,1,1,1,1,0
95944000,1,1,0,0,1,1,1,1,1,1,1,1,0
96448000,1,1,0,0,1,1,1,1,1,1,1,1,0
96952000,1,1,0,0,1,1,1,1,1,1,1,1,0
97456000,1,1,0,0,1,1,1,1,1,1,1,1,0
97960000,1,1,0,0,1,1,1,1,1,1,1,1,0
98464000,1,1,0,0,1,1,1,1,1,1,1,1,0
98968000,1,1,0,0,1,1,1,1,1,1,1,1,0
99220000,1,1,0,0,1,1,1,1,1,1,1,1,0
99232000,1,1,1,0,0,1,1,0,1,1,1,1,0
99736000,1,1,1,0,0,1,1,0,1,1,1,1,0
100240000,1,1,1,0,0,1,1,0,1,1,1,1,0
100744000,1,1,1,0,0,1,1,0,1,1,1,1,0
101248000,1,1,1,0,0,1,1,0,1,1,1,1,0
101752000,1,1,1,0,0,1,1,0,1,1,1,1,0
102256000,1,1,1,0,0,1,1,0,1,1,1,1,0
102760000,1,1,1,0,0,1,1,0,1,1,1,1,0
103264000,1,1,1,0,0,1,1,0,1,1,1,1,0
103768000,1,1,1,0,0,1,1,0,1,1,1,1,0
104272000,1,1,1,0,0,1,1,0,1,1,1,1,0
104776000,1,1,1,0,0,1,1,0,1,1,1,1,0
105280000,1,1,1,0,0,1,1,0,1,1,1,1,0
105784000,1,1,1,0,0,1,1,0,1,1,1,1,0
105880000,0,1,0,0,1,1,1,1,1,1,1,1,0
106384000,0,1,0,0,1,1,1,1,1,1,1,1,0
