timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
24808000,24690000,24728000,0,-0.011119492,0.0,1.0,1.0,0.017490255,-0.011924657,1.1089698,1.1089728,1.103399e-05,5.128979e-06,0,1,0,1
25208000,25086000,25128000,0,0.0,0.0,1.0,1.0,0.0007807581,-0.014462983,1.1122156,1.1122185,2.1923201e-08,7.5229063e-06,0,1,0,1
25408000,25290000,25328000,0,0.0,0.0,1.0,1.0,-0.0015969182,-0.010480892,1.1041782,1.1041805,9.2381754e-08,3.9793895e-06,0,1,0,1
25808000,25690000,25728000,0,0.0,0.0,1.0,1.0,-0.0033637427,-0.013755724,1.1078569,1.107859,4.0852805e-07,6.8319137e-06,0,1,0,1
26208000,26090000,26128000,0,0.0,0.0,1.0,1.0,-0.005514372,-0.016319614,1.1112261,1.111228,1.0945856e-06,9.586864e-06,0,1,0,1
26608000,26486000,26528000,0,0.0,0.0,1.0,1.0,-0.007139893,-0.01853782,1.1142346,1.1142361,1.830066e-06,1.233673e-05,0,1,0,1
26808000,26690000,26728000,0,0.0,0.00752684,1.0,1.0,-0.004788598,-0.020661797,1.1057279,1.1057292,8.295231e-07,1.5443558e-05,0,1,0,1
27208000,27086000,27128000,0,0.0,0.00752684,1.0,1.0,-0.00800696,-0.020710554,1.1092345,1.109236,2.3119155e-06,1.5467476e-05,0,1,0,1
27408000,27290000,27328000,0,0.0,0.0,1.0,1.0,-0.005562105,-0.008268453,1.1018816,1.1018828,1.1230613e-06,2.4818364e-06,0,1,0,1
27808000,27690000,27728000,0,0.0,0.0,1.0,1.0,-0.01273547,-0.0069141705,1.1057122,1.1057136,5.867429e-06,1.7294082e-06,0,1,0,1
28208000,28090000,28128000,0,0.0,0.0,1.0,1.0,-0.016157072,-0.007813134,1.1092476,1.1092494,9.413623e-06,2.201311e-06,0,1,0,1
28608000,28490000,28528000,0,0.0,0.0,1.0,1.0,-0.01862163,-0.014915128,1.1124287,1.1124305,1.2468757e-05,7.9991e-06,0,1,0,1
29008000,28890000,28928000,0,0.0,0.00752684,1.0,1.0,-0.020564282,-0.025721766,1.1152276,1.1152295,1.5167836e-05,2.3729976e-05,0,1,0,1
29408000,29290000,29328000,0,0.0,0.00752684,1.0,1.0,-0.021975605,-0.027107649,1.1176445,1.1176465,1.7283748e-05,2.6299e-05,0,1,0,1
29808000,29686000,29728000,0,0.0,0.0,1.0,1.0,-0.018997887,-0.017339371,1.1196971,1.1196986,1.2893477e-05,1.0740526e-05,0,1,0,1
30208000,30090000,30128000,0,-0.011119492,0.0,1.0,1.0,-0.011560431,-0.019802831,1.121415,1.1214163,4.7669614e-06,1.3987744e-05,0,1,0,1
30608000,30490000,30528000,0,0.0,0.0,1.0,1.0,-0.018702587,-0.021343922,1.122834,1.1228342,1.2460855e-05,1.622904e-05,0,1,0,1
31008000,30890000,30928000,0,0.0,0.00752684,1.0,1.0,-0.017685726,-0.036967907,1.1239903,1.1239893,1.1131232e-05,4.8634844e-05,0,1,0,1
31408000,31290000,31328000,0,0.0,0.0,1.0,1.0,-0.019710124,-0.029085515,1.1249214,1.1249192,1.3813906e-05,3.0080995e-05,0,1,0,1
31808000,31690000,31728000,0,0.0,0.0,1.0,1.0,-0.017322494,-0.029477509,1.1256628,1.1256588,1.066283e-05,3.0876978e-05,0,1,0,1
32208000,32090000,32128000,0,0.0,0.0,1.0,1.0,-0.014841559,-0.029658988,1.1262449,1.1262388,7.823232e-06,3.1242238e-05,0,1,0,1
32608000,32490000,32528000,0,-0.011119492,0.0,1.0,1.0,0.0030616624,-0.040080924,1.1266956,1.1266868,3.3278826e-07,5.703379e-05,0,1,0,1
33008000,32890000,32928000,0,0.0,0.00752684,1.0,1.0,-0.006946937,-0.046488386,1.1270387,1.127027,1.7128049e-06,7.670339e-05,0,1,0,1
33408000,33290000,33328000,0,0.0,0.00752684,1.0,1.0,-0.00090614846,-0.04507443,1.1272957,1.1272812,2.913539e-08,7.209219e-05,0,1,0,1
33808000,33686000,33728000,0,0.0,0.0,1.0,1.0,-0.002317173,-0.035427663,1.1274837,1.1274657,1.9048755e-07,4.4528868e-05,0,1,0,1
34008000,33890000,33928000,0,0.0,0.0,1.0,1.0,-0.004518837,-0.026393183,1.1160805,1.1160703,7.318429e-07,2.4966173e-05,0,1,0,1
34408000,34290000,34328000,0,0.0,0.00752684,1.0,1.0,-0.0039450554,-0.035912756,1.1177633,1.117748,5.569502e-07,4.6154444e-05,0,1,0,1
34608000,34490000,34528000,0,0.0,0.0,1.0,1.0,0.00050679443,-0.021179108,1.1087322,1.1087224,9.2661e-09,1.6182756e-05,0,1,0,1
35008000,34890000,34928000,0,0.0,0.00752684,1.0,1.0,0.0038550543,-0.026896972,1.1112592,1.1112444,5.349407e-07,2.6040972e-05,0,1,0,1
35408000,35290000,35328000,0,0.0,0.0,1.0,1.0,0.009567098,-0.025556054,1.1136105,1.1135913,3.2876612e-06,2.3459663e-05,0,1,0,1
35808000,35690000,35728000,0,0.0,0.0,1.0,1.0,0.011047021,-0.031843666,1.1157522,1.1157298,4.375045e-06,3.635357e-05,0,1,0,1
36208000,36090000,36128000,0,0.0,0.0,1.0,1.0,0.01874033,-0.030528085,1.1176671,1.117642,1.2569037e-05,3.335465e-05,0,1,0,1
36608000,36490000,36528000,0,0.0,0.0,1.0,1.0,0.0152081,-0.03631676,1.1193495,1.1193236,8.265026e-06,4.713229e-05,0,1,0,1
