timestamp,armed_time,takeoff_time,nav_state_timestamp,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
32200000,0,0,244000,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
32704000,0,0,244000,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
33208000,0,0,244000,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
33436000,0,0,244000,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
33448000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
33952000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
34456000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
34960000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
35464000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
35968000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
36472000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
36976000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
37480000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
37984000,0,0,33448000,0,1,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
38488000,38488000,0,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
38992000,38488000,0,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
39496000,38488000,0,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
40000000,38488000,0,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
40504000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
41008000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
41512000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
42016000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
42520000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
43024000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
43528000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
44032000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
44536000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
45040000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
45544000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
46048000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
46552000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
47056000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
47560000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
48064000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
48568000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
49072000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
49576000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
50080000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
50584000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
51088000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
51592000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
52096000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
52600000,38488000,40276000,33448000,0,2,4,0,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
