timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
29408000,29290000,0.00062084285,0.0009100472,0.001456029,1,0,0,0,0,0,0,0,0,0,0
29808000,29686000,0.00020668641,7.444882e-05,0.0010046555,1,0,0,0,0,0,0,0,0,0,0
30208000,30090000,0.0010101888,0.00012997494,0.0013657768,1,0,0,0,0,0,0,0,0,0,0
30608000,30490000,0.00021916791,0.00092433655,0.0015957726,1,0,0,0,0,0,0,0,0,0,0
31008000,30890000,0.0006216204,0.0007117582,0.0012263403,1,0,0,0,0,0,0,0,0,0,0
31408000,31290000,0.0002243235,8.5143256e-05,0.0011772866,1,0,0,0,0,0,0,0,0,0,0
31808000,31690000,0.00021535056,0.0001196785,0.0011301951,1,0,0,0,0,0,0,0,0,0,0
32208000,32090000,0.00020673654,0.00048630495,0.002291483,1,0,0,0,0,0,0,0,0,0,0
32608000,32490000,0.0009976676,0.00013434357,0.0021998237,1,0,0,0,0,0,0,0,0,0,0
33008000,32890000,0.00062779523,0.0010292385,0.0023391424,1,0,0,0,0,0,0,0,0,0,0
33408000,33290000,0.0006026834,0.0011864331,0.0020193383,1,0,0,0,0,0,0,0,0,0,0
33808000,33686000,0.00024712837,0.0013408663,0.0019393724,1,0,0,0,0,0,0,0,0,0,0
34008000,33890000,0.00024208694,0.0009137324,0.001806847,1,0,0,0,0,0,0,0,0,0,0
34408000,34290000,0.00058770843,0.00082264614,0.002188449,1,0,0,0,0,0,0,0,0,0,0
34608000,34490000,0.00023977476,0.00020804862,0.0018761385,1,0,0,0,0,0,0,0,0,0,0
35008000,34890000,0.0005821581,0.0006028857,0.002363374,1,0,0,0,0,0,0,0,0,0,0
35408000,35290000,0.00024599276,0.0002766462,0.0025421407,1,0,0,0,0,0,0,0,0,0,0
35808000,35690000,0.00023615306,3.349196e-05,0.0028334644,1,0,0,0,0,0,0,0,0,0,0
