timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
39048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.029417662,0.0021561806,9.710162e-12,-0.18511967,0.14796184,-9.837487,-0.0012144014,-0.004942827,-0.00059654814,0.00042787063,0.00051064364,0.000452517,1.9981733e-06,6.0881393e-06,2.2298593e-06,11.827328,11.827328
40048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026700774,0.002272386,1.3280922e-11,-0.18406622,0.15437831,-9.844862,-0.0010865697,-0.0052837115,-0.00017044239,0.00032258919,0.0006879216,0.0004091293,3.7230516e-06,4.040792e-06,3.6578012e-06,11.827328,11.827328
41048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024642767,0.0020419483,1.08324105e-11,-0.18368316,0.15150526,-9.837775,-0.0012357067,-0.004495416,-5.6631935e-11,0.00032268476,0.00045643613,0.00028040193,1.4355073e-06,3.8554435e-06,4.3736636e-06,11.827328,11.827328
42048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.030798273,0.0074181654,4.2691655e-09,-0.14030021,0.21681912,-11.98997,0.06319149,-0.045806363,-0.33014676,0.00041462935,0.00038982794,0.0063794395,0.001501393,0.0026495417,0.00024082758,11.826943,11.826943
43048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025246905,0.0029105307,8.112375e-11,-0.16098613,0.20369884,-9.346676,0.008756474,-0.021134846,0.022817966,0.00041858453,0.00059181167,0.0006082544,8.394598e-06,1.176681e-05,3.3022334e-06,11.820918,11.820918
44048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023230702,0.0023917481,3.9158628e-11,-0.22036232,0.16816889,-9.535244,-6.391587e-05,0.0034301514,0.014721955,0.0005275919,0.00036174012,0.00052825786,6.130694e-06,1.7513566e-06,3.2596795e-06,11.816725,11.816725
45048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023142116,0.0023628715,2.4508012e-11,-0.2218946,0.13474584,-9.702742,-0.0064981133,0.005241101,0.0024501083,0.0003867898,0.0005252225,0.0008545797,8.700044e-06,1.3657178e-05,2.9078954e-06,11.814362,11.814362
46048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024082053,0.00218863,6.1004496e-12,-0.19574992,0.10659003,-9.720651,0.00042610578,0.003025351,0.0031744882,0.00050934433,0.000386981,0.00033195043,1.4657684e-06,1.695563e-06,4.1722387e-06,11.813018,11.813018
47048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023792433,0.0021676237,5.1027037e-11,-0.18186356,0.107068874,-9.793338,-0.011930962,-0.016852483,0.0030040455,0.00036231335,0.00032698392,0.0012425008,7.494332e-06,8.366227e-06,2.5267955e-06,11.812228,11.812228
48048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023346128,0.0023328038,2.8286977e-11,-0.18550275,0.12191292,-9.758383,-0.0022370552,-0.010375676,0.0012570118,0.00038793625,0.00038449693,0.0004182963,1.0023964e-05,4.6838395e-06,2.4085884e-06,11.811801,11.811801
49048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02423016,0.0021651858,7.8883775e-12,-0.19239804,0.14882374,-9.775143,0.0007030745,-0.0029188246,0.001768339,0.00025741407,0.00028884568,0.0004894754,3.3268213e-06,2.5797522e-06,2.3575228e-06,11.811611,11.811611
50048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023501774,0.0021737206,1.4496534e-11,-0.1982399,0.16491278,-9.796116,0.0032810145,-0.0028336034,0.0015339808,0.000100313526,0.00030157107,0.0006305523,1.1813147e-05,4.816231e-06,3.2937232e-06,11.811531,11.811531
51048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023234148,0.0020900317,7.6892945e-12,-0.20877439,0.15562329,-9.844957,-0.0009374327,-0.0017683391,0.001470065,0.00034918665,0.00021591294,0.0006076117,5.2313744e-06,3.4450284e-06,3.0800047e-06,11.811441,11.811441
